arquivo_saida,threads,N,nnz,densidade,tempo_permutacao,tempo_iteracoes,biblioteca
outputB//tela-C-diag-grid-dim=0021-N=001764-1thr-exelibC_0.out,1,1764,7056,0.23,0.000000,0.000017,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-1thr-exelibC_1.out,1,1764,7056,0.23,0.000016,0.000015,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-1thr-pylibC.out,1,1764,7056,0.2268,0.000021,0.000019,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-1thr-SciPy.out,1,1764,7056,0.2268,0.000181,0.000026,SciPy
outputB//tela-C-diag-grid-dim=0021-N=001764-2thr-exelibC_0.out,2,1764,7056,0.23,0.000000,0.000012,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-2thr-exelibC_1.out,2,1764,7056,0.23,0.000010,0.000010,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-2thr-pylibC.out,2,1764,7056,0.2268,0.000014,0.000013,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-4thr-exelibC_0.out,4,1764,7056,0.23,0.000000,0.000015,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-4thr-exelibC_1.out,4,1764,7056,0.23,0.000009,0.000012,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-4thr-pylibC.out,4,1764,7056,0.2268,0.000015,0.000013,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-8thr-exelibC_0.out,8,1764,7056,0.23,0.000000,0.000016,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-8thr-exelibC_1.out,8,1764,7056,0.23,0.000008,0.000013,libC
outputB//tela-C-diag-grid-dim=0021-N=001764-8thr-pylibC.out,8,1764,7056,0.2268,0.000015,0.000015,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-1thr-exelibC_0.out,1,10404,41616,0.04,0.000000,0.000095,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-1thr-exelibC_1.out,1,10404,41616,0.04,0.000108,0.000083,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-1thr-pylibC.out,1,10404,41616,0.0384,0.000119,0.000087,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-1thr-SciPy.out,1,10404,41616,0.0384,0.000501,0.000116,SciPy
outputB//tela-C-diag-grid-dim=0051-N=010404-2thr-exelibC_0.out,2,10404,41616,0.04,0.000000,0.000056,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-2thr-exelibC_1.out,2,10404,41616,0.04,0.000055,0.000049,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-2thr-pylibC.out,2,10404,41616,0.0384,0.000071,0.000050,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-4thr-exelibC_0.out,4,10404,41616,0.04,0.000000,0.000051,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-4thr-exelibC_1.out,4,10404,41616,0.04,0.000035,0.000039,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-4thr-pylibC.out,4,10404,41616,0.0384,0.000063,0.000033,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-8thr-exelibC_0.out,8,10404,41616,0.04,0.000000,0.000046,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-8thr-exelibC_1.out,8,10404,41616,0.04,0.000025,0.000038,libC
outputB//tela-C-diag-grid-dim=0051-N=010404-8thr-pylibC.out,8,10404,41616,0.0384,0.000044,0.000024,libC
outputB//tela-C-diag-grid-dim=0121-N=058564-1thr-exelibC_0.out,1,58564,234256,0.01,0.000000,0.000555,libC
outputB//tela-C-diag-grid-dim=0121-N=058564-1thr-exelibC_1.out,1,58564,234256,0.01,0.000610,0.000469,libC
outputB//tela-C-diag-grid-dim=0121-N=058564-1thr-pylibC.out,1,58564,234256,0.0068,0.000783,0.000473,libC
