arquivo_saida,threads,N,nnz,densidade,tempo_permutacao,tempo_iteracoes,biblioteca
output/tela-C-diag-grid-dim=0021-N=001764-16thr-exeLibC_0.out,16,1764,7056,0.23,0.000000,0.000020,libC
output/tela-C-diag-grid-dim=0021-N=001764-16thr-exeLibC_1.out,16,1764,7056,0.23,0.000009,0.000014,libC
output/tela-C-diag-grid-dim=0021-N=001764-16thr-py_LibC.out,16,1764,7056,0.2268,0.000021,0.000016,libC
output/tela-C-diag-grid-dim=0021-N=001764-1thr-exeLibC_0.out,1,1764,7056,0.23,0.000000,0.000022,libC
output/tela-C-diag-grid-dim=0021-N=001764-1thr-exeLibC_1.out,1,1764,7056,0.23,0.000016,0.000020,libC
output/tela-C-diag-grid-dim=0021-N=001764-1thr-py_LibC.out,1,1764,7056,0.2268,0.000021,0.000024,libC
output/tela-C-diag-grid-dim=0021-N=001764-1thr-py_SciPy.out,1,1764,7056,0.2268,0.000411,0.000028,SciPy
output/tela-C-diag-grid-dim=0021-N=001764-24thr-exeLibC_0.out,24,1764,7056,0.23,0.000000,0.000025,libC
output/tela-C-diag-grid-dim=0021-N=001764-24thr-exeLibC_1.out,24,1764,7056,0.23,0.000011,0.000016,libC
output/tela-C-diag-grid-dim=0021-N=001764-24thr-py_LibC.out,24,1764,7056,0.2268,0.000021,0.000018,libC
output/tela-C-diag-grid-dim=0021-N=001764-2thr-exeLibC_0.out,2,1764,7056,0.23,0.000000,0.000015,libC
output/tela-C-diag-grid-dim=0021-N=001764-2thr-exeLibC_1.out,2,1764,7056,0.23,0.000010,0.000013,libC
output/tela-C-diag-grid-dim=0021-N=001764-2thr-py_LibC.out,2,1764,7056,0.2268,0.000014,0.000016,libC
output/tela-C-diag-grid-dim=0021-N=001764-48thr-exeLibC_0.out,48,1764,7056,0.23,0.000000,0.000039,libC
output/tela-C-diag-grid-dim=0021-N=001764-48thr-exeLibC_1.out,48,1764,7056,0.23,0.000019,0.000101,libC
