arquivo_saida,threads,N,nnz,densidade,tempo_permutacao,tempo_iteracoes,biblioteca,tipoNum,classe,programa
outputCb/tela-C-diag-grid-dim=0021-N=001764-016thr-py_LibC.out,16,1764,7056,0.2268,0.000017,0.000016,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-01thr-exeLibC_0.out,1,1764,7056,0.23,0.000000,0.000021,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0021-N=001764-01thr-exeLibC_1.out,1,1764,7056,0.23,0.000017,0.000020,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0021-N=001764-01thr-py_LibC.out,1,1764,7056,0.2268,0.000021,0.000024,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-024thr-py_LibC.out,24,1764,7056,0.2268,0.000022,0.000018,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-02thr-exeLibC_0.out,2,1764,7056,0.23,0.000000,0.000015,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0021-N=001764-02thr-exeLibC_1.out,2,1764,7056,0.23,0.000010,0.000013,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0021-N=001764-02thr-py_LibC.out,2,1764,7056,0.2268,0.000015,0.000017,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-048thr-py_LibC.out,48,1764,7056,0.2268,0.000053,0.000029,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-04thr-exeLibC_0.out,4,1764,7056,0.23,0.000000,0.000016,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0021-N=001764-04thr-exeLibC_1.out,4,1764,7056,0.23,0.000008,0.000012,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0021-N=001764-04thr-py_LibC.out,4,1764,7056,0.2268,0.000016,0.000014,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-08thr-exeLibC_0.out,8,1764,7056,0.23,0.000000,0.000017,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0021-N=001764-08thr-exeLibC_1.out,8,1764,7056,0.23,0.000008,0.000013,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0021-N=001764-08thr-py_LibC.out,8,1764,7056,0.2268,0.000015,0.000015,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0021-N=001764-16thr-exeLibC_0.out,16,1764,7056,0.23,0.000000,0.000020,libC,C,diag,exeLibC_0
